prescription_text,label,clean_text
Tab Paracetamol 500mg BD after meals 3 days,DO,tab paracetamol 500mg twice daily after meals 3 days
Tab Paracetamol 650mg TDS after meals 3 days,DO,tab paracetamol 650mg three times daily after meals 3 days
Tab Paracetamol 500mg SOS for fever,DO,tab paracetamol 500mg when needed for fever
Tab Brufen 400mg BD after meals,DO,tab brufen 400mg twice daily after meals
Tab Brufen 600mg TDS after meals,DO,tab brufen 600mg three times daily after meals
Avoid cold drinks during fever,DONT,avoid cold drinks during fever
Do not exceed recommended dose,WARNING,do not exceed recommended dose
Take rest and drink plenty of fluids,DO,take rest and drink plenty of fluids
Tab Dolo 650mg BD after meals,DO,tab dolo 650mg twice daily after meals
Avoid alcohol while taking painkillers,DONT,avoid alcohol while taking painkillers
Tab Cetirizine 10mg OD at night,DO,tab cetirizine 10mg once daily at night
Tab Levocetirizine 5mg OD at night,DO,tab levocetirizine 5mg once daily at night
Syp Benadryl 10ml TDS,DO,syp benadryl 10ml three times daily
Syp Ascoril 10ml BD,DO,syp ascoril 10ml twice daily
Tab Montelukast OD at night,DO,tab montelukast once daily at night
Avoid cold beverages,DONT,avoid cold beverages
Steam inhalation twice daily,DO,steam inhalation twice daily
Do not drive after taking cough syrup,WARNING,do not drive after taking cough syrup
Tab Sinarest BD after meals,DO,tab sinarest twice daily after meals
Avoid smoking during cold,DONT,avoid smoking during cold
Tab Allegra OD daily,DO,tab allegra once daily daily
Tab Allegra M OD at night,DO,tab allegra m once daily at night
Tab Cetirizine OD at night,DO,tab cetirizine once daily at night
Avoid dust exposure,DONT,avoid dust exposure
Avoid pollen and smoke,DONT,avoid pollen and smoke
Do not take on empty stomach,WARNING,do not take on empty stomach
Tab Levocetirizine BD,DO,tab levocetirizine twice daily
Apply calamine lotion locally,DO,apply calamine lotion locally
Avoid scratching skin,WARNING,avoid scratching skin
Consult doctor if allergy persists,WARNING,consult doctor if allergy persists
Tab Pantoprazole OD before breakfast,DO,tab pantoprazole once daily before breakfast
Tab Omeprazole OD before breakfast,DO,tab omeprazole once daily before breakfast
Tab Rantac BD before meals,DO,tab rantac twice daily before meals
Avoid spicy food,DONT,avoid spicy food
Avoid oily food,DONT,avoid oily food
Do not lie down immediately after meals,WARNING,do not lie down immediately after meals
